# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        223       1   -0.0505049     0.171384   -0.0283342     0.498349     0.485891     0.513768
        224       1   -0.0505049     0.160997   -0.0283342     0.496494     0.482406     0.510283
        225       1   -0.0505049     0.150611   -0.0283342     0.494697     0.478921     0.510283
        226       1   -0.0505049     0.140224   -0.0283342      0.49237     0.478921     0.506798
        227       1   -0.0297311     0.129837   -0.0283342     0.490061     0.475437     0.506798
        228       1  -0.00895721      0.11945   -0.0283342     0.487895     0.471952     0.503314
        229       1   0.00142971     0.109063   -0.0283342     0.485971     0.468467     0.499829
        230       1   0.00142971    0.0986759   -0.0283342     0.484479     0.468467     0.499829
        231       1   0.00142971     0.088289   -0.0283342     0.483374     0.468467     0.496345
        232       1   0.00142971    0.0779021   -0.0283342     0.482475     0.468467     0.496345
        233       1   0.00142971    0.0675152   -0.0283342     0.481507     0.468467      0.49286
        234       1   0.00142971    0.0571282   -0.0283342     0.480672     0.468467      0.49286
        235       1   -0.0193441    0.0467413   -0.0283342     0.479854     0.468467      0.49286
        236       1   -0.0349245    0.0363544   -0.0283342     0.478979     0.464983      0.49286
        237       1   -0.0505049    0.0259675   -0.0283342     0.478443     0.464983     0.489375
        238       1   -0.0505049    0.0155805   -0.0283342     0.477954     0.464983     0.489375
        239       1   -0.0505049   0.00519362   -0.0283342     0.477349     0.464983     0.489375
        240       1   -0.0505049   -0.0051933   -0.0283342     0.476871     0.464983     0.489375
        241       1   -0.0505049   -0.0155802   -0.0283342     0.476404     0.464983     0.485891
        242       1   -0.0505049   -0.0259672   -0.0283342     0.475811     0.464983     0.485891
        243       1   -0.0349245   -0.0363541   -0.0283342     0.474848     0.461498     0.485891
        244       1   -0.0193441    -0.046741   -0.0283342     0.473812     0.461498     0.485891
        245       1   0.00142971   -0.0571279   -0.0283342     0.472822     0.461498     0.485891
        246       1   0.00142971   -0.0675148   -0.0283342     0.471791     0.458013     0.482406
        247       1   0.00142971   -0.0779018   -0.0283342     0.470731     0.458013     0.482406
        248       1   0.00142971   -0.0882887   -0.0283342     0.469925     0.458013     0.482406
        249       1   0.00142971   -0.0986756   -0.0283342     0.468819     0.458013     0.478921
        250       1   0.00142971    -0.109063   -0.0283342     0.467598     0.454529     0.478921
        251       1  -0.00895721    -0.119449   -0.0283342     0.465852     0.454529     0.478921
        252       1   -0.0297311    -0.129836   -0.0283342     0.464171     0.451044     0.475437
        253       1   -0.0505049    -0.140223   -0.0283342     0.462166     0.451044     0.471952
        254       1   -0.0505049     -0.15061   -0.0283342      0.46026      0.44756     0.471952
        255       1   -0.0505049    -0.160997   -0.0283342     0.458768      0.44756     0.468467
        256       1   -0.0505049    -0.171384   -0.0283342     0.457201     0.444075     0.468467
        257       1   -0.0505049    -0.181771   -0.0283342     0.455784     0.444075     0.464983
        258       1   -0.0505049    -0.192158   -0.0283342     0.453861      0.44059     0.464983
        259       1    -0.040118    -0.202545   -0.0283342     0.451649      0.44059     0.461498
        260       1   -0.0193441    -0.212932   -0.0283342     0.449138     0.437106     0.458013
        261       1  -0.00376375    -0.223319   -0.0283342     0.446931     0.433621     0.454529
        262       1   0.00142971    -0.233706   -0.0283342     0.444524     0.433621     0.454529
        263       1   0.00142971    -0.244093   -0.0283342     0.442906     0.433621     0.451044
        264       1   0.00142971    -0.254479   -0.0283342     0.440919     0.430136      0.44756
        265       1   0.00142971    -0.264866   -0.0283342     0.439392     0.430136      0.44756
        266       1   0.00142971    -0.275253   -0.0283342     0.437175     0.426652     0.444075
        267       1   -0.0141507     -0.28564   -0.0283342     0.435052     0.426652      0.44059
        268       1   -0.0297311    -0.296027   -0.0283342     0.432665     0.423167      0.44059
        269       1   -0.0505049    -0.306414   -0.0283342     0.430545     0.423167     0.437106
        270       1   -0.0505049    -0.316801   -0.0283342     0.428495     0.423167     0.433621
        271       1   -0.0505049    -0.327188   -0.0283342     0.426657     0.419682     0.430136
        272       1   -0.0505049    -0.337575   -0.0283342     0.424918     0.419682     0.430136
        273       1   -0.0505049    -0.347962   -0.0283342     0.423317     0.419682     0.426652
        274       1    -0.040118    -0.358349   -0.0283342     0.421318     0.416198     0.426652
        275       1   -0.0297311    -0.368736   -0.0283342     0.419366     0.412713     0.426652
        276       1  -0.00895721    -0.379123   -0.0283342     0.417275     0.412713     0.423167
        277       1   0.00142971    -0.389509   -0.0283342      0.41523     0.409228     0.419682
        278       1   0.00142971    -0.399896   -0.0283342     0.413053     0.409228     0.419682
        279       1   0.00142971    -0.410283   -0.0283342     0.411365     0.405744     0.419682
        280       1   0.00142971     -0.42067   -0.0283342     0.409142     0.405744     0.416198
