# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        144       1   0.00142971     0.991951   -0.0283342     0.918591     0.910727     0.927373
        145       1  -0.00376375     0.981564   -0.0283342      0.83776     0.827496     0.847472
        146       1   0.00142971     0.971178   -0.0283342     0.782373       0.7709     0.794204
        147       1  -0.00895721     0.960791   -0.0283342     0.750121     0.740937     0.764241
        148       1   0.00142971     0.950404   -0.0283342      0.72812     0.717632     0.737607
        149       1  -0.00895721     0.940017   -0.0283342     0.711617     0.697657     0.720961
        150       1  -0.00895721      0.92963   -0.0283342     0.704552     0.694327     0.714303
        151       1   0.00142971     0.919243   -0.0283342     0.695444     0.687669     0.700986
        152       1  -0.00895721     0.908856   -0.0283342     0.689942     0.681011     0.697657
        153       1  -0.00895721     0.898469   -0.0283342     0.684615     0.677681     0.694327
        154       1   0.00142971     0.888082   -0.0283342     0.679761     0.674352     0.687669
        155       1  -0.00376375     0.877695   -0.0283342      0.67481     0.667694      0.68434
        156       1  -0.00895721     0.867308   -0.0283342     0.669856     0.664364     0.677681
        157       1  -0.00895721     0.856921   -0.0283342     0.665845     0.657706     0.674352
        158       1  -0.00376375     0.846534   -0.0283342     0.660914     0.654377     0.671023
        159       1   0.00142971     0.836148   -0.0283342     0.657992     0.651047     0.667694
        160       1   0.00142971     0.825761   -0.0283342     0.653667     0.647718     0.661035
        161       1  -0.00895721     0.815374   -0.0283342     0.651433      0.64106     0.661035
        162       1  -0.00895721     0.804987   -0.0283342     0.649523      0.64106     0.657706
        163       1  -0.00895721       0.7946   -0.0283342     0.647162      0.64106     0.657706
        164       1   -0.0193441     0.784213   -0.0283342     0.644136     0.637731     0.651047
        165       1   -0.0245376     0.773826   -0.0283342     0.640492     0.631072     0.647718
        166       1  -0.00895721     0.763439   -0.0283342     0.638396     0.631072     0.644389
        167       1   0.00142971     0.753052   -0.0283342     0.636757     0.627743     0.644389
        168       1   0.00142971     0.742665   -0.0283342       0.6351     0.624414     0.644389
