# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        144       1   0.00142971     0.991951   -0.0283342     0.984546     0.982694     0.986504
        145       1  -0.00376375     0.981564   -0.0283342     0.967317     0.963646     0.967456
        146       1   0.00142971     0.971178   -0.0283342     0.949333     0.948408     0.952217
        147       1  -0.00895721     0.960791   -0.0283342      0.93366     0.929359     0.936979
        148       1   0.00142971     0.950404   -0.0283342     0.917754     0.914121      0.92174
        149       1  -0.00895721     0.940017   -0.0283342     0.902742     0.898882     0.906502
        150       1  -0.00895721      0.92963   -0.0283342     0.894254     0.891263     0.898882
        151       1   0.00142971     0.919243   -0.0283342     0.879979     0.876025     0.883644
        152       1  -0.00895721     0.908856   -0.0283342     0.870231     0.864596     0.876025
        153       1  -0.00895721     0.898469   -0.0283342     0.860068     0.856976     0.864596
        154       1   0.00142971     0.888082   -0.0283342     0.851706     0.845548     0.856976
        155       1  -0.00376375     0.877695   -0.0283342     0.843258     0.837928     0.849357
        156       1  -0.00895721     0.867308   -0.0283342     0.835183     0.830309     0.841738
        157       1  -0.00895721     0.856921   -0.0283342     0.828464      0.82269     0.834119
        158       1  -0.00376375     0.846534   -0.0283342     0.819946      0.81507     0.826499
        159       1   0.00142971     0.836148   -0.0283342     0.814403     0.807451      0.81888
        160       1   0.00142971     0.825761   -0.0283342     0.805524     0.796022     0.811261
        161       1  -0.00895721     0.815374   -0.0283342     0.800663     0.792213     0.807451
        162       1  -0.00895721     0.804987   -0.0283342     0.796715     0.788403     0.799832
        163       1  -0.00895721       0.7946   -0.0283342     0.792175     0.784593     0.796022
        164       1   -0.0193441     0.784213   -0.0283342     0.786193     0.776974     0.792213
        165       1   -0.0245376     0.773826   -0.0283342     0.778381     0.769355     0.784593
        166       1  -0.00895721     0.763439   -0.0283342     0.773335     0.765545     0.780784
        167       1   0.00142971     0.753052   -0.0283342     0.769046     0.761736     0.776974
        168       1   0.00142971     0.742665   -0.0283342     0.764349     0.754116     0.769355
        169       1  -0.00895721     0.732278   -0.0283342     0.759475     0.750307     0.765545
