# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        144       1   0.00142971     0.991951   -0.0283342     0.934012     0.927585      0.94135
        145       1  -0.00376375     0.981564   -0.0283342     0.865543     0.858763     0.872528
        146       1   0.00142971     0.971178   -0.0283342     0.814518     0.803706     0.827794
        147       1  -0.00895721     0.960791   -0.0283342     0.781717     0.772736     0.793383
        148       1   0.00142971     0.950404   -0.0283342     0.758073     0.748649     0.769295
        149       1  -0.00895721     0.940017   -0.0283342     0.740208     0.728002     0.748649
        150       1  -0.00895721      0.92963   -0.0283342     0.732302     0.724561     0.741766
        151       1   0.00142971     0.919243   -0.0283342     0.721984     0.714238     0.728002
        152       1  -0.00895721     0.908856   -0.0283342     0.715529     0.707355     0.724561
        153       1  -0.00895721     0.898469   -0.0283342     0.709397     0.700473     0.717679
        154       1   0.00142971     0.888082   -0.0283342     0.703914     0.697032     0.710796
        155       1  -0.00376375     0.877695   -0.0283342     0.698325      0.69015     0.707355
        156       1  -0.00895721     0.867308   -0.0283342     0.692982     0.686709     0.700473
        157       1  -0.00895721     0.856921   -0.0283342     0.688557     0.679827     0.697032
        158       1  -0.00376375     0.846534   -0.0283342     0.683034     0.676386     0.693591
        159       1   0.00142971     0.836148   -0.0283342     0.679787     0.672944     0.686709
        160       1   0.00142971     0.825761   -0.0283342     0.674685     0.666062     0.683268
        161       1  -0.00895721     0.815374   -0.0283342     0.671972     0.662621     0.679827
        162       1  -0.00895721     0.804987   -0.0283342     0.669845     0.662621     0.679827
        163       1  -0.00895721       0.7946   -0.0283342     0.667137      0.65918     0.676386
        164       1   -0.0193441     0.784213   -0.0283342     0.663656     0.655739     0.672944
        165       1   -0.0245376     0.773826   -0.0283342     0.659465     0.652298     0.666062
        166       1  -0.00895721     0.763439   -0.0283342     0.657081     0.648857     0.666062
        167       1   0.00142971     0.753052   -0.0283342     0.655318     0.645416     0.662621
        168       1   0.00142971     0.742665   -0.0283342     0.653282     0.645416     0.662621
        169       1  -0.00895721     0.732278   -0.0283342     0.651121     0.641975      0.65918
        170       1   -0.0193441     0.721891   -0.0283342     0.649153     0.638534      0.65918
        171       1   -0.0245376     0.711504   -0.0283342     0.647193     0.635092     0.655739
        172       1   -0.0245376     0.701118   -0.0283342     0.645325     0.635092     0.655739
        173       1   -0.0193441     0.690731   -0.0283342     0.642708      0.62821     0.652298
        174       1   0.00142971     0.680344   -0.0283342     0.639956     0.624769     0.652298
        175       1   0.00142971     0.669957   -0.0283342     0.637897     0.624769     0.648857
        176       1   0.00142971      0.65957   -0.0283342     0.636128     0.624769     0.648857
        177       1   0.00142971     0.649183   -0.0283342     0.634006     0.621328     0.645416
        178       1  -0.00895721     0.638796   -0.0283342     0.631094     0.621328     0.641975
        179       1   -0.0193441     0.628409   -0.0283342     0.628927     0.617887     0.641975
        180       1   -0.0193441     0.618022   -0.0283342     0.627198     0.617887     0.638534
        181       1   -0.0245376     0.607635   -0.0283342     0.625886     0.614446     0.638534
        182       1   -0.0245376     0.597248   -0.0283342     0.624165     0.614446     0.638534
        183       1   -0.0193441     0.586861   -0.0283342     0.619986     0.607564     0.631651
        184       1  -0.00895721     0.576474   -0.0283342     0.617392     0.607564     0.631651
        185       1   0.00142971     0.566088   -0.0283342     0.615197     0.604123      0.62821
        186       1   0.00142971     0.555701   -0.0283342     0.613092     0.604123     0.624769
        187       1   0.00142971     0.545314   -0.0283342     0.610874     0.600682     0.621328
        188       1   0.00142971     0.534927   -0.0283342     0.608792     0.600682     0.621328
        189       1   0.00142971      0.52454   -0.0283342     0.606432      0.59724     0.617887
        190       1  -0.00895721     0.514153   -0.0283342     0.603895     0.593799     0.614446
        191       1    -0.040118     0.503766   -0.0283342     0.600477     0.590358     0.611005
        192       1   -0.0505049     0.493379   -0.0283342     0.596473     0.586917     0.604123
        193       1   -0.0505049     0.482992   -0.0283342       0.5924     0.586917     0.600682
        194       1   -0.0505049     0.472605   -0.0283342     0.588225     0.580035     0.593799
        195       1   -0.0505049     0.462218   -0.0283342     0.584779     0.576594     0.590358
        196       1    -0.040118     0.451831   -0.0283342     0.581929     0.573153     0.586917
        197       1   -0.0193441     0.441444   -0.0283342     0.579654     0.573153     0.583476
        198       1  -0.00895721     0.431057   -0.0283342     0.577606     0.569712     0.583476
        199       1   0.00142971     0.420671   -0.0283342     0.575798     0.569712     0.580035
        200       1   0.00142971     0.410284   -0.0283342     0.574347     0.566271     0.576594
        201       1   0.00142971     0.399897   -0.0283342     0.572476     0.566271     0.576594
        202       1   0.00142971      0.38951   -0.0283342     0.570883      0.56283     0.573153
        203       1  -0.00895721     0.379123   -0.0283342     0.568722      0.56283     0.573153
        204       1   -0.0297311     0.368736   -0.0283342     0.566913     0.559388     0.569712
        205       1    -0.040118     0.358349   -0.0283342     0.564707     0.559388     0.569712
        206       1   -0.0505049     0.347962   -0.0283342     0.562835     0.555947     0.566271
        207       1   -0.0505049     0.337575   -0.0283342      0.56085     0.555947      0.56283
        208       1   -0.0505049     0.327188   -0.0283342     0.559161     0.552506      0.56283
        209       1   -0.0505049     0.316801   -0.0283342     0.557039     0.552506      0.56283
        210       1   -0.0505049     0.306414   -0.0283342     0.554525     0.549065     0.559388
        211       1   -0.0297311     0.296027   -0.0283342     0.551795     0.545624     0.555947
        212       1   -0.0141507     0.285641   -0.0283342     0.549048     0.542183     0.552506
        213       1   0.00142971     0.275254   -0.0283342     0.546164     0.535301     0.549065
        214       1   0.00142971     0.264867   -0.0283342     0.543531     0.535301     0.549065
        215       1   0.00142971      0.25448   -0.0283342     0.541483     0.535301     0.545624
        216       1   0.00142971     0.244093   -0.0283342     0.539049     0.535301     0.542183
