# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        144       1   0.00142971     0.991951   -0.0283342     0.984831     0.983812     0.987641
        145       1  -0.00376375     0.981564   -0.0283342     0.967951     0.964668     0.972325
        146       1   0.00142971     0.971178   -0.0283342     0.951124     0.945523      0.95701
        147       1  -0.00895721     0.960791   -0.0283342     0.935783     0.930208     0.941694
        148       1   0.00142971     0.950404   -0.0283342     0.920822     0.914892     0.926379
        149       1  -0.00895721     0.940017   -0.0283342     0.906399     0.899577     0.911063
        150       1  -0.00895721      0.92963   -0.0283342     0.898349     0.891919     0.903405
        151       1   0.00142971     0.919243   -0.0283342     0.885147     0.876603     0.891919
        152       1  -0.00895721     0.908856   -0.0283342     0.875724     0.868945     0.884261
        153       1  -0.00895721     0.898469   -0.0283342     0.866534     0.857459     0.872774
        154       1   0.00142971     0.888082   -0.0283342     0.858364     0.849801     0.865117
        155       1  -0.00376375     0.877695   -0.0283342     0.850543     0.842143     0.857459
        156       1  -0.00895721     0.867308   -0.0283342     0.842833     0.834485     0.849801
        157       1  -0.00895721     0.856921   -0.0283342     0.836296     0.826828     0.842143
        158       1  -0.00376375     0.846534   -0.0283342     0.828007      0.81917     0.834485
        159       1   0.00142971     0.836148   -0.0283342     0.822619     0.811512     0.830657
        160       1   0.00142971     0.825761   -0.0283342     0.813936     0.800026     0.822999
        161       1  -0.00895721     0.815374   -0.0283342     0.809139     0.796197      0.81917
        162       1  -0.00895721     0.804987   -0.0283342     0.805348     0.792368     0.815341
        163       1  -0.00895721       0.7946   -0.0283342     0.800703     0.788539     0.811512
        164       1   -0.0193441     0.784213   -0.0283342     0.794868      0.78471     0.803854
        165       1   -0.0245376     0.773826   -0.0283342     0.787011     0.773223     0.796197
        166       1  -0.00895721     0.763439   -0.0283342     0.782065     0.769394     0.792368
        167       1   0.00142971     0.753052   -0.0283342     0.777653     0.765566     0.788539
        168       1   0.00142971     0.742665   -0.0283342     0.772635     0.761737     0.780881
        169       1  -0.00895721     0.732278   -0.0283342     0.767483     0.757908     0.777052
        170       1   -0.0193441     0.721891   -0.0283342     0.762768      0.75025     0.773223
        171       1   -0.0245376     0.711504   -0.0283342     0.758592     0.746421     0.765566
        172       1   -0.0245376     0.701118   -0.0283342     0.754478     0.742592     0.761737
        173       1   -0.0193441     0.690731   -0.0283342     0.749345     0.738763     0.757908
        174       1   0.00142971     0.680344   -0.0283342     0.744086     0.731106     0.754079
        175       1   0.00142971     0.669957   -0.0283342     0.739953     0.731106      0.75025
        176       1   0.00142971      0.65957   -0.0283342      0.73651     0.723448     0.746421
        177       1   0.00142971     0.649183   -0.0283342     0.732099     0.719619     0.742592
        178       1  -0.00895721     0.638796   -0.0283342     0.726378     0.711961     0.738763
        179       1   -0.0193441     0.628409   -0.0283342     0.721473     0.708132     0.731106
        180       1   -0.0193441     0.618022   -0.0283342     0.717891     0.704303     0.727277
        181       1   -0.0245376     0.607635   -0.0283342     0.714795     0.704303     0.727277
        182       1   -0.0245376     0.597248   -0.0283342     0.710807     0.696646     0.723448
        183       1   -0.0193441     0.586861   -0.0283342      0.70243     0.688988     0.711961
        184       1  -0.00895721     0.576474   -0.0283342     0.698215     0.685159     0.708132
        185       1   0.00142971     0.566088   -0.0283342     0.694766      0.68133     0.704303
        186       1   0.00142971     0.555701   -0.0283342     0.691703      0.68133     0.700475
        187       1   0.00142971     0.545314   -0.0283342     0.688969     0.677501     0.700475
        188       1   0.00142971     0.534927   -0.0283342     0.685944     0.673672     0.696646
        189       1   0.00142971      0.52454   -0.0283342     0.682786     0.673672     0.692817
        190       1  -0.00895721     0.514153   -0.0283342     0.679495     0.669844     0.688988
        191       1    -0.040118     0.503766   -0.0283342     0.674951     0.662186     0.685159
        192       1   -0.0505049     0.493379   -0.0283342      0.66959     0.658357     0.677501
        193       1   -0.0505049     0.482992   -0.0283342       0.6638     0.654528     0.669844
        194       1   -0.0505049     0.472605   -0.0283342     0.657737     0.650699     0.666015
        195       1   -0.0505049     0.462218   -0.0283342     0.652414      0.64687     0.658357
        196       1    -0.040118     0.451831   -0.0283342     0.647414     0.639212     0.654528
        197       1   -0.0193441     0.441444   -0.0283342     0.642529     0.635384     0.650699
        198       1  -0.00895721     0.431057   -0.0283342     0.637997     0.631555     0.643041
        199       1   0.00142971     0.420671   -0.0283342     0.633574     0.627726     0.639212
        200       1   0.00142971     0.410284   -0.0283342     0.629365     0.623897     0.635384
        201       1   0.00142971     0.399897   -0.0283342     0.625245     0.620068     0.631555
        202       1   0.00142971      0.38951   -0.0283342     0.620745     0.616239     0.627726
        203       1  -0.00895721     0.379123   -0.0283342     0.616062      0.61241     0.623897
        204       1   -0.0297311     0.368736   -0.0283342     0.611024     0.604752     0.616239
        205       1    -0.040118     0.358349   -0.0283342     0.606082     0.600924      0.61241
        206       1   -0.0505049     0.347962   -0.0283342     0.601525     0.593266     0.608581
        207       1   -0.0505049     0.337575   -0.0283342     0.597228     0.593266     0.604752
        208       1   -0.0505049     0.327188   -0.0283342      0.59326     0.589437     0.597095
        209       1   -0.0505049     0.316801   -0.0283342     0.589007     0.585608     0.593266
        210       1   -0.0505049     0.306414   -0.0283342     0.584178     0.581779     0.593266
        211       1   -0.0297311     0.296027   -0.0283342     0.578976     0.574121     0.585608
        212       1   -0.0141507     0.285641   -0.0283342       0.5739     0.570293      0.57795
        213       1   0.00142971     0.275254   -0.0283342     0.568913     0.558806     0.574121
        214       1   0.00142971     0.264867   -0.0283342     0.564584     0.558806     0.570293
        215       1   0.00142971      0.25448   -0.0283342     0.560698     0.554977     0.566464
        216       1   0.00142971     0.244093   -0.0283342     0.557198     0.554977     0.562635
        217       1   0.00142971     0.233706   -0.0283342     0.553142     0.547319     0.558806
        218       1  -0.00376375     0.223319   -0.0283342     0.548359      0.54349     0.554977
        219       1   -0.0193441     0.212932   -0.0283342     0.543414     0.539661     0.547319
        220       1    -0.040118     0.202545   -0.0283342      0.53863     0.532004      0.54349
        221       1   -0.0505049     0.192158   -0.0283342     0.534149     0.524346     0.539661
        222       1   -0.0505049     0.181771   -0.0283342     0.530352     0.524346     0.535833
        223       1   -0.0505049     0.171384   -0.0283342     0.526871     0.520517     0.532004
        224       1   -0.0505049     0.160997   -0.0283342     0.523916     0.516688     0.528175
        225       1   -0.0505049     0.150611   -0.0283342     0.520441     0.512859     0.524346
        226       1   -0.0505049     0.140224   -0.0283342     0.516638      0.50903     0.520517
        227       1   -0.0297311     0.129837   -0.0283342      0.51248     0.505202     0.516688
        228       1  -0.00895721      0.11945   -0.0283342      0.50848     0.501373     0.512859
        229       1   0.00142971     0.109063   -0.0283342      0.50467     0.497544      0.50903
        230       1   0.00142971    0.0986759   -0.0283342     0.501468     0.493715     0.505202
        231       1   0.00142971     0.088289   -0.0283342     0.498854     0.493715     0.505202
        232       1   0.00142971    0.0779021   -0.0283342     0.496291     0.489886     0.501373
