# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        144       1   0.00142971     0.991951   -0.0283342     0.945176      0.93553     0.953388
        145       1  -0.00376375     0.981564   -0.0283342      0.88703     0.874813     0.896243
        146       1   0.00142971     0.971178   -0.0283342     0.841288     0.828383     0.856956
        147       1  -0.00895721     0.960791   -0.0283342     0.809657     0.796239     0.828383
        148       1   0.00142971     0.950404   -0.0283342     0.785312     0.771238     0.803382
        149       1  -0.00895721     0.940017   -0.0283342     0.766568     0.749808     0.785524
        150       1  -0.00895721      0.92963   -0.0283342      0.75792     0.742665     0.774809
        151       1   0.00142971     0.919243   -0.0283342      0.74675     0.735522     0.764095
        152       1  -0.00895721     0.908856   -0.0283342     0.739678     0.728379     0.756952
        153       1  -0.00895721     0.898469   -0.0283342     0.733173     0.724807     0.749808
        154       1   0.00142971     0.888082   -0.0283342     0.727222     0.714093     0.742665
        155       1  -0.00376375     0.877695   -0.0283342     0.721206      0.70695     0.735522
        156       1  -0.00895721     0.867308   -0.0283342     0.715132     0.699806     0.724807
        157       1  -0.00895721     0.856921   -0.0283342      0.71022     0.696235     0.721236
        158       1  -0.00376375     0.846534   -0.0283342      0.70394     0.689092     0.717664
        159       1   0.00142971     0.836148   -0.0283342     0.699989     0.689092     0.714093
        160       1   0.00142971     0.825761   -0.0283342     0.693944     0.681949      0.70695
        161       1  -0.00895721     0.815374   -0.0283342     0.690751     0.674805     0.703378
        162       1  -0.00895721     0.804987   -0.0283342     0.688265     0.674805     0.699806
        163       1  -0.00895721       0.7946   -0.0283342     0.685384     0.671234     0.696235
        164       1   -0.0193441     0.784213   -0.0283342     0.681825     0.671234     0.689092
        165       1   -0.0245376     0.773826   -0.0283342      0.67691     0.667662     0.681949
        166       1  -0.00895721     0.763439   -0.0283342     0.673601     0.664091     0.681949
        167       1   0.00142971     0.753052   -0.0283342     0.670998     0.660519     0.678377
        168       1   0.00142971     0.742665   -0.0283342     0.668046     0.656948     0.674805
        169       1  -0.00895721     0.732278   -0.0283342     0.665177     0.653376     0.674805
        170       1   -0.0193441     0.721891   -0.0283342     0.662467     0.649804     0.671234
        171       1   -0.0245376     0.711504   -0.0283342     0.659981     0.646233     0.667662
        172       1   -0.0245376     0.701118   -0.0283342     0.657462     0.642661     0.667662
        173       1   -0.0193441     0.690731   -0.0283342     0.654551      0.63909     0.664091
        174       1   0.00142971     0.680344   -0.0283342     0.651263     0.631947     0.660519
        175       1   0.00142971     0.669957   -0.0283342     0.648576     0.631947     0.660519
        176       1   0.00142971      0.65957   -0.0283342     0.646392     0.628375     0.656948
        177       1   0.00142971     0.649183   -0.0283342     0.643671     0.624803     0.656948
        178       1  -0.00895721     0.638796   -0.0283342     0.639993     0.621232     0.653376
        179       1   -0.0193441     0.628409   -0.0283342     0.636823     0.621232     0.653376
        180       1   -0.0193441     0.618022   -0.0283342      0.63478      0.61766     0.649804
        181       1   -0.0245376     0.607635   -0.0283342     0.633076      0.61766     0.649804
        182       1   -0.0245376     0.597248   -0.0283342     0.630959     0.614089     0.649804
        183       1   -0.0193441     0.586861   -0.0283342     0.626563     0.606946     0.646233
        184       1  -0.00895721     0.576474   -0.0283342      0.62416     0.606946     0.646233
        185       1   0.00142971     0.566088   -0.0283342      0.62233     0.606946     0.642661
        186       1   0.00142971     0.555701   -0.0283342     0.620523     0.606946      0.63909
        187       1   0.00142971     0.545314   -0.0283342     0.618741     0.603374     0.635518
        188       1   0.00142971     0.534927   -0.0283342     0.616987     0.603374     0.635518
        189       1   0.00142971      0.52454   -0.0283342     0.614874     0.603374     0.631947
