# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        144       1   0.00142971     0.991951   -0.0283342     0.785044     0.763094     0.818488
        145       1  -0.00376375     0.981564   -0.0283342     0.650089     0.632164     0.680004
        146       1   0.00142971     0.971178   -0.0283342     0.611875     0.596913     0.632164
        147       1  -0.00895721     0.960791   -0.0283342     0.597425     0.581806     0.612021
        148       1   0.00142971     0.950404   -0.0283342     0.587674     0.571734     0.599431
        149       1  -0.00895721     0.940017   -0.0283342     0.580599     0.564181     0.591878
        150       1  -0.00895721      0.92963   -0.0283342     0.577698     0.561663      0.58936
        151       1   0.00142971     0.919243   -0.0283342     0.574261     0.566699     0.584324
        152       1  -0.00895721     0.908856   -0.0283342      0.57255     0.564181     0.581806
        153       1  -0.00895721     0.898469   -0.0283342     0.570669     0.564181     0.581806
        154       1   0.00142971     0.888082   -0.0283342     0.568667     0.559145     0.581806
        155       1  -0.00376375     0.877695   -0.0283342     0.566386     0.554109     0.579288
        156       1  -0.00895721     0.867308   -0.0283342     0.564097     0.551591     0.574252
        157       1  -0.00895721     0.856921   -0.0283342     0.562245     0.551591     0.571734
        158       1  -0.00376375     0.846534   -0.0283342     0.560008     0.551591     0.571734
        159       1   0.00142971     0.836148   -0.0283342     0.558887     0.549073     0.569216
        160       1   0.00142971     0.825761   -0.0283342     0.557239     0.546555     0.566699
        161       1  -0.00895721     0.815374   -0.0283342     0.556427     0.546555     0.564181
        162       1  -0.00895721     0.804987   -0.0283342      0.55579     0.546555     0.566699
        163       1  -0.00895721       0.7946   -0.0283342     0.554862     0.546555     0.564181
        164       1   -0.0193441     0.784213   -0.0283342      0.55346     0.544038     0.561663
        165       1   -0.0245376     0.773826   -0.0283342     0.551633     0.544038     0.559145
        166       1  -0.00895721     0.763439   -0.0283342     0.550701     0.544038     0.556627
        167       1   0.00142971     0.753052   -0.0283342     0.549889     0.544038     0.556627
        168       1   0.00142971     0.742665   -0.0283342     0.548948     0.544038     0.556627
        169       1  -0.00895721     0.732278   -0.0283342     0.547954      0.54152     0.554109
        170       1   -0.0193441     0.721891   -0.0283342     0.547038     0.539002     0.554109
        171       1   -0.0245376     0.711504   -0.0283342     0.546063     0.536484     0.551591
        172       1   -0.0245376     0.701118   -0.0283342     0.545367     0.536484     0.551591
        173       1   -0.0193441     0.690731   -0.0283342     0.544291     0.533966     0.551591
        174       1   0.00142971     0.680344   -0.0283342     0.543272     0.533966     0.551591
        175       1   0.00142971     0.669957   -0.0283342      0.54231     0.533966     0.549073
        176       1   0.00142971      0.65957   -0.0283342     0.541499     0.531448     0.549073
        177       1   0.00142971     0.649183   -0.0283342     0.540284     0.531448     0.549073
        178       1  -0.00895721     0.638796   -0.0283342      0.53871     0.531448     0.549073
        179       1   -0.0193441     0.628409   -0.0283342     0.537682      0.52893     0.546555
        180       1   -0.0193441     0.618022   -0.0283342     0.537104      0.52893     0.546555
        181       1   -0.0245376     0.607635   -0.0283342     0.536713      0.52893     0.546555
        182       1   -0.0245376     0.597248   -0.0283342     0.536363      0.52893     0.546555
        183       1   -0.0193441     0.586861   -0.0283342     0.536159     0.526412     0.546555
        184       1  -0.00895721     0.576474   -0.0283342     0.536001     0.526412     0.546555
        185       1   0.00142971     0.566088   -0.0283342     0.535876      0.52893     0.546555
        186       1   0.00142971     0.555701   -0.0283342     0.535606      0.52893     0.544038
        187       1   0.00142971     0.545314   -0.0283342     0.535148      0.52893     0.544038
        188       1   0.00142971     0.534927   -0.0283342     0.534632     0.526412     0.544038
        189       1   0.00142971      0.52454   -0.0283342     0.534012     0.526412      0.54152
        190       1  -0.00895721     0.514153   -0.0283342     0.533279     0.526412      0.54152
        191       1    -0.040118     0.503766   -0.0283342     0.532189     0.523894     0.539002
        192       1   -0.0505049     0.493379   -0.0283342     0.530524     0.523894     0.536484
        193       1   -0.0505049     0.482992   -0.0283342     0.528793     0.521376     0.533966
        194       1   -0.0505049     0.472605   -0.0283342     0.527082     0.521376     0.533966
        195       1   -0.0505049     0.462218   -0.0283342     0.525667     0.521376     0.533966
        196       1    -0.040118     0.451831   -0.0283342     0.524756     0.518859     0.531448
        197       1   -0.0193441     0.441444   -0.0283342     0.523874     0.518859     0.526412
        198       1  -0.00895721     0.431057   -0.0283342     0.522958     0.518859     0.526412
        199       1   0.00142971     0.420671   -0.0283342      0.52183     0.518859     0.526412
        200       1   0.00142971     0.410284   -0.0283342     0.520598     0.516341     0.526412
        201       1   0.00142971     0.399897   -0.0283342     0.519241     0.516341     0.526412
        202       1   0.00142971      0.38951   -0.0283342     0.517469     0.513823     0.526412
        203       1  -0.00895721     0.379123   -0.0283342     0.515621     0.513823     0.523894
        204       1   -0.0297311     0.368736   -0.0283342     0.513673     0.511305     0.518859
        205       1    -0.040118     0.358349   -0.0283342     0.511833     0.508787     0.516341
        206       1   -0.0505049     0.347962   -0.0283342     0.510327     0.506269     0.516341
        207       1   -0.0505049     0.337575   -0.0283342     0.509103     0.503751     0.513823
        208       1   -0.0505049     0.327188   -0.0283342     0.508184     0.503751     0.513823
        209       1   -0.0505049     0.316801   -0.0283342     0.507285     0.501233     0.513823
        210       1   -0.0505049     0.306414   -0.0283342     0.506523     0.501233     0.513823
        211       1   -0.0297311     0.296027   -0.0283342     0.505815     0.501233     0.513823
        212       1   -0.0141507     0.285641   -0.0283342     0.505289     0.501233     0.513823
        213       1   0.00142971     0.275254   -0.0283342     0.505029     0.498715     0.511305
        214       1   0.00142971     0.264867   -0.0283342     0.504808     0.498715     0.511305
        215       1   0.00142971      0.25448   -0.0283342     0.504538     0.498715     0.511305
        216       1   0.00142971     0.244093   -0.0283342     0.504084     0.498715     0.511305
        217       1   0.00142971     0.233706   -0.0283342     0.503576     0.496197     0.511305
        218       1  -0.00376375     0.223319   -0.0283342     0.502842     0.496197     0.511305
        219       1   -0.0193441     0.212932   -0.0283342     0.501912      0.49368     0.508787
        220       1    -0.040118     0.202545   -0.0283342     0.501129      0.49368     0.508787
        221       1   -0.0505049     0.192158   -0.0283342     0.500122     0.491162     0.508787
        222       1   -0.0505049     0.181771   -0.0283342      0.49936     0.491162     0.506269
        223       1   -0.0505049     0.171384   -0.0283342      0.49867     0.491162     0.506269
        224       1   -0.0505049     0.160997   -0.0283342     0.497958     0.491162     0.506269
        225       1   -0.0505049     0.150611   -0.0283342      0.49708     0.491162     0.506269
        226       1   -0.0505049     0.140224   -0.0283342     0.496173     0.488644     0.506269
        227       1   -0.0297311     0.129837   -0.0283342     0.495207     0.488644     0.503751
        228       1  -0.00895721      0.11945   -0.0283342     0.494387     0.486126     0.503751
        229       1   0.00142971     0.109063   -0.0283342     0.493634     0.486126     0.501233
        230       1   0.00142971    0.0986759   -0.0283342     0.493047     0.486126     0.501233
        231       1   0.00142971     0.088289   -0.0283342     0.492731     0.486126     0.501233
        232       1   0.00142971    0.0779021   -0.0283342     0.492523     0.483608     0.501233
        233       1   0.00142971    0.0675152   -0.0283342     0.492435     0.483608     0.501233
        234       1   0.00142971    0.0571282   -0.0283342     0.492394     0.483608     0.498715
        235       1   -0.0193441    0.0467413   -0.0283342     0.492398     0.486126     0.498715
        236       1   -0.0349245    0.0363544   -0.0283342     0.492466     0.486126     0.498715
        237       1   -0.0505049    0.0259675   -0.0283342     0.492639     0.486126     0.498715
        238       1   -0.0505049    0.0155805   -0.0283342     0.492747     0.486126     0.498715
        239       1   -0.0505049   0.00519362   -0.0283342     0.492772     0.486126     0.498715
        240       1   -0.0505049   -0.0051933   -0.0283342     0.492822     0.486126     0.498715
        241       1   -0.0505049   -0.0155802   -0.0283342     0.492785     0.486126     0.498715
        242       1   -0.0505049   -0.0259672   -0.0283342     0.492631     0.486126     0.498715
        243       1   -0.0349245   -0.0363541   -0.0283342     0.492375     0.486126     0.498715
        244       1   -0.0193441    -0.046741   -0.0283342     0.492015     0.486126     0.498715
        245       1   0.00142971   -0.0571279   -0.0283342     0.491578     0.483608     0.496197
        246       1   0.00142971   -0.0675148   -0.0283342     0.491287     0.483608     0.496197
        247       1   0.00142971   -0.0779018   -0.0283342     0.490974     0.483608     0.496197
        248       1   0.00142971   -0.0882887   -0.0283342     0.490704     0.483608     0.496197
        249       1   0.00142971   -0.0986756   -0.0283342     0.490304     0.483608     0.496197
        250       1   0.00142971    -0.109063   -0.0283342     0.489946     0.483608      0.49368
        251       1  -0.00895721    -0.119449   -0.0283342     0.489455     0.483608      0.49368
        252       1   -0.0297311    -0.129836   -0.0283342     0.488985     0.483608      0.49368
        253       1   -0.0505049    -0.140223   -0.0283342      0.48839     0.483608      0.49368
        254       1   -0.0505049     -0.15061   -0.0283342     0.487924     0.483608      0.49368
        255       1   -0.0505049    -0.160997   -0.0283342     0.487358     0.483608     0.491162
        256       1   -0.0505049    -0.171384   -0.0283342     0.486817     0.483608     0.491162
        257       1   -0.0505049    -0.181771   -0.0283342     0.486255      0.48109     0.491162
        258       1   -0.0505049    -0.192158   -0.0283342      0.48536      0.48109     0.491162
        259       1    -0.040118    -0.202545   -0.0283342     0.484428     0.478572     0.488644
        260       1   -0.0193441    -0.212932   -0.0283342     0.483537     0.478572     0.488644
        261       1  -0.00376375    -0.223319   -0.0283342     0.482499     0.476054     0.486126
        262       1   0.00142971    -0.233706   -0.0283342     0.481714     0.476054     0.486126
        263       1   0.00142971    -0.244093   -0.0283342     0.481132     0.476054     0.486126
        264       1   0.00142971    -0.254479   -0.0283342     0.480711     0.476054     0.483608
        265       1   0.00142971    -0.264866   -0.0283342     0.480258     0.476054     0.483608
        266       1   0.00142971    -0.275253   -0.0283342     0.479746     0.476054     0.483608
        267       1   -0.0141507     -0.28564   -0.0283342      0.47926     0.476054     0.483608
        268       1   -0.0297311    -0.296027   -0.0283342     0.478947     0.476054      0.48109
        269       1   -0.0505049    -0.306414   -0.0283342     0.478772     0.476054      0.48109
        270       1   -0.0505049    -0.316801   -0.0283342     0.478335     0.473536      0.48109
        271       1   -0.0505049    -0.327188   -0.0283342     0.477794     0.473536      0.48109
        272       1   -0.0505049    -0.337575   -0.0283342     0.477274     0.473536      0.48109
        273       1   -0.0505049    -0.347962   -0.0283342     0.476762     0.473536      0.48109
        274       1    -0.040118    -0.358349   -0.0283342     0.476025     0.473536     0.478572
        275       1   -0.0297311    -0.368736   -0.0283342     0.475093     0.473536     0.478572
        276       1  -0.00895721    -0.379123   -0.0283342     0.474419     0.471019     0.478572
        277       1   0.00142971    -0.389509   -0.0283342     0.473661     0.471019     0.478572
        278       1   0.00142971    -0.399896   -0.0283342     0.472683     0.471019     0.476054
        279       1   0.00142971    -0.410283   -0.0283342     0.472159     0.471019     0.476054
